category,subcategory
Box Issues,Box damage or wear inconsistent with new product
Box Issues,Missing or incorrect box labels
Box Issues,Box dimensions incorrect for model
Box Issues,Poor box printing quality
Tag Issues,Missing authentication tags
Tag Issues,Incorrect tag placement
Tag Issues,Tag font or text inconsistencies
Tag Issues,Tag color variations
Documentation & Packaging,Missing or incorrect documentation
Documentation & Packaging,Poor tissue paper quality
Documentation & Packaging,Missing accessories or laces
Documentation & Packaging,Incorrect packaging materials
Specific Model Elements,Incorrect sole pattern or design
Specific Model Elements,Wrong colorway or color variations
Specific Model Elements,Incorrect model-specific details
Specific Model Elements,Size labeling inconsistencies
Logo & Branding Issues,Swoosh alignment incorrect
Logo & Branding Issues,Logo size inconsistent
Logo & Branding Issues,Font or text inconsistencies
Logo & Branding Issues,Brand logo placement errors
Logo & Branding Issues,Color variations in logos
Material & Construction Issues,Poor stitching quality
Material & Construction Issues,Incorrect materials used
Material & Construction Issues,Glue stains or residue visible
Material & Construction Issues,Asymmetrical construction
Material & Construction Issues,Poor overall craftsmanship
